ime,spol,starost,jezik
Janez,M,19,C
Brigita,Ž,21,Python
Uroš,M,20,Java
Leopold,M,19,C
Gorazd,M,21,C
Manca,Ž,20,Java
Klara,Ž,19,C
Pia,Ž,21,Python
Mark,M,20,Python
Klemen,M,19,Pascal
Luna,Ž,21,Python
Peter,M,20,Pascal
Sebastjan,M,19,Pascal
Jaka,M,21,C
Tinkara,Ž,20,C
Nina,Ž,19,C
Lidija,Ž,21,Python
Jernej,M,20,Java
Lucija,Ž,19,Pascal
Urška,Ž,21,Java
Jakob,M,20,Python
Reginald,M,19,Python
Emilija,Ž,21,Python
Blaž,M,20,C
Kristjan,M,19,C
Petra,Ž,21,Java
Luka,M,20,Pascal
Andrej,M,19,C
Ana,Ž,21,C
Jasna,Ž,20,C
Monika,Ž,19,C
Kristina,Ž,21,Python
Žan,M,20,Java
Jan,M,19,Python
Špela,Ž,21,Pascal
Jure,M,20,Java
Matija,M,19,Java
Anja,Ž,21,Python
Katarina,Ž,20,Java
Angela,Ž,19,C
Elena,Ž,21,Python
Marko,M,20,Java
